Chart of account,P&L Classification
42203008 - Office Rent - GMO office (HO) - IRSAA,Rent
42203010 - Office Rent - Akaria Office - IRSAA,Rent
42208004 - Admin Audit Fees اتعاب مراجعة الحسابات - IRSAA,Consultation and Audit Fee
42101008 - OP - Consultancy Fee مصاريف تشغيلية - أتعاب استشارية - IRSAA,Consultation and Audit Fee
42210003 - Depreciation - Office & Electrical Equipments مصاريف الاستهلاك -معدات كهربائية ومكتبية - IRSAA,Depreciation And Amortization
42210001 - Depreciation - Furniture & Fixtures مصاريف الاستهلاك - الأثاث - IRSAA,Depreciation And Amortization
42210005 - Depreciation - Computer Hardware مصاريف الاستهلاك - أجهزة الحاسب الآلي - IRSAA,Depreciation And Amortization
42210002 - Depreciation - Leasehold Improvement مصاريف الاستهلاك - تحسينات على مباني مستأجرة - IRSAA,Depreciation And Amortization
42106004 - Google Ads' - IRSAA,Marketing Expenses
42106005 - Call Center - IRSAA,Marketing Expenses
42106001 - Social Media Expenses مصاريف التسويق ووسائل التواصل الإجتماعي - IRSAA,Marketing Expenses
43101001 - Zakat Expense مصاريف الزكاة - IRSAA,Zakat and Other Charges
42301005 - Facilities Charges مصاريف التسهيلات البنكية - IRSAA,Commission for Financing
42301003 - Bank Charges for Letter of Guarantee مصاريف العمولات البنكية على فتح خطابات الضمان - IRSAA,Commission For LG
42301004 - Finance Interest مصاريف فوائد على التمويل - IRSAA,Finance Interest
42208006 - Bad debt Expenses مصاريف الديون المعدومه - IRSAA,Bad debt Expenses
31102002 - Other Revenue ايرادات أخرى - IRSAA,Other Revenue
